Model,RMSE,MAE,Precision@5,Precision@10,Recall@5,Recall@10,NDCG@5,NDCG@10
CF,1.2083045973594573,0.986,0.0,0.0,0.0,0.0,0.9238415253246591,0.9345958071251558
CBF,1.522169504358828,1.325,0.0,0.0,0.0,0.0,0.9238415253246591,0.9345958071251558
NeuMF,0.8968480560451438,0.7012683364152908,0.6691326530612244,0.6535147392290249,0.6022598433312719,0.6067040669081486,0.9593935953797602,0.9636780908088128
Hybrid,1.08387521789296,0.9040428986549377,0.01645408163265306,0.01645408163265306,0.015178571428571428,0.015178571428571428,0.9593935953797602,0.9636780908088128
